/* Initial Dimensionless Superdroplets Data
 VOL = 1000000.0[m^3],  R0 = 1e-06[m],  RHO_SOL = 1724.9997483263212[Kg m^-3]
eps,           r,           m_sol */
459606182008.00000000000000,0.01412537544623,0.02036468258612
469144719688.00000000000000,0.02818382931264,0.16176242369355
70034433810.00000000000000,0.05623413251903,1.28492460457221
78290513342.00000000000000,0.11220184543020,10.20651892903644
98357722275.00000000000000,0.22387211385683,81.07326163581494
62446927317.00000000000000,0.44668359215096,643.98780798516475
21271230418.00000000000000,0.89125093813374,5115.37698700816327
9346835367.00000000000000,1.77827941003892,40632.88372039416572
10193357618.00000000000000,3.54813389233575,322758.46797377587063
5940761135.00000000000000,7.07945784384137,2563761.64107923489064
