/* Initial Dimensionless Superdroplets Data
 N0 = 1000000.0[m^-3],  R0 = 1e-06[m],  RHO_SOL = 1724.9997483263212[Kg m^-3]
eps,           r,           m_sol */
0.15548500000000,0.01188502227437,0.01213047048154
0.29088900000000,0.01678804018123,0.03418831095337
0.29340900000000,0.02371373705662,0.09635575203975
0.16229600000000,0.03349654391578,0.27156740687798
0.05672200000000,0.04731512589615,0.76538094423265
0.02798600000000,0.06683439175686,2.15713658914037
0.03365700000000,0.09440608762859,6.07963694323921
0.04411300000000,0.13335214321633,17.13474498911030
0.04950100000000,0.18836490894898,48.29227280887791
0.04680200000000,0.26607250597988,136.10611739650747
0.03728100000000,0.37583740428844,383.59915811099080
0.02509200000000,0.53088444423099,1081.12931966743781
0.01451300000000,0.74989420933245,3047.03642104024539
0.00782000000000,1.05925372517729,8587.71544000100948
0.00502300000000,1.49623565609443,24203.47061465495426
0.00471500000000,2.11348903983664,68214.64845770433021
0.00509600000000,2.98538261891796,192255.00087539921515
0.00485400000000,4.21696503428581,541848.21291745535564
0.00371400000000,5.95662143529010,1527135.75462271342985
0.00223300000000,8.41395141645194,4304053.34455229900777
