/* columns are dimensionless:  t,    P (y1),    T (y2),    qv (y3),   qc (y4),     */
    0.00000000000000e+00,    1.00000000000000e+00,    1.00000000000000e+00,    2.28934479239319e-03,    0.00000000000000e+00
    5.00000000000000e-04,    9.99874936064601e-01,    9.99965082438321e-01,    2.28925554712223e-03,    8.92452709619339e-08
    1.00000000000000e-03,    9.99749884931908e-01,    9.99929564723682e-01,    2.28923422978029e-03,    1.10562612896579e-07
    1.50000000000000e-03,    9.99624846600899e-01,    9.99893952596527e-01,    2.28922364255354e-03,    1.21149839644331e-07
    2.00000000000000e-03,    9.99499821070554e-01,    9.99858301478447e-01,    2.28921751750252e-03,    1.27274890672539e-07
    2.50000000000000e-03,    9.99374808339853e-01,    9.99822630580556e-01,    2.28921368195063e-03,    1.31110442561441e-07
    3.00000000000000e-03,    9.99249808407775e-01,    9.99786948567413e-01,    2.28921115598766e-03,    1.33636405525288e-07
    3.50000000000000e-03,    9.99124821273302e-01,    9.99751259947060e-01,    2.28920942978329e-03,    1.35362609903593e-07
    4.00000000000000e-03,    9.98999846935413e-01,    9.99715567286506e-01,    2.28920821302688e-03,    1.36579366305070e-07
    4.50000000000000e-03,    9.98874885393089e-01,    9.99679872134473e-01,    2.28920733056977e-03,    1.37461823418874e-07
    5.00000000000000e-03,    9.98749936645309e-01,    9.99644175442956e-01,    2.28920667474906e-03,    1.38117644128447e-07
    5.50000000000000e-03,    9.98625000691055e-01,    9.99608477842170e-01,    2.28920617429262e-03,    1.38618100571512e-07
    6.00000000000000e-03,    9.98500077529308e-01,    9.99572779768340e-01,    2.28920577986751e-03,    1.39012525681752e-07
    6.50000000000000e-03,    9.98375167159046e-01,    9.99537081499216e-01,    2.28920546006301e-03,    1.39332330180322e-07
    7.00000000000000e-03,    9.98250269579252e-01,    9.99501383223887e-01,    2.28920519349526e-03,    1.39598897929654e-07
    7.50000000000000e-03,    9.98125384788905e-01,    9.99465685075565e-01,    2.28920496509969e-03,    1.39827293495375e-07
    8.00000000000001e-03,    9.98000512786987e-01,    9.99429987151736e-01,    2.28920476385179e-03,    1.40028541394066e-07
    8.50000000000001e-03,    9.97875653572479e-01,    9.99394289528935e-01,    2.28920458109676e-03,    1.40211296431088e-07
    9.00000000000001e-03,    9.97750807144360e-01,    9.99358592258765e-01,    2.28920441099904e-03,    1.40381394146831e-07
    9.50000000000001e-03,    9.97625973501612e-01,    9.99322895369550e-01,    2.28920425035610e-03,    1.40542037092248e-07
